MaKH,TenKH,SoDienThoai,Email,LoaiThe,MaNV_PhuTrach
KH0001,Nhật Tấn Nguyễn,09 1362 8671,jane67@hotmail.com,,NV005
KH0002,Thảo Hoàng,+84-45-770 4749,wnguyen@yahoo.com,Thành viên,NV018
KH0003,Chị Dương Mai,+84 70 1771577,ipham@yahoo.com,,NV011
KH0004,Xuân Vũ,+84-52-122517,johnpham@gmail.com,,NV007
KH0005,Ánh Nguyễn,08 9901 2786,john63@hotmail.com,Vãng lai,NV019
KH0006,Ông Nhiên Nguyễn,02 7307 9203,john42@hotmail.com,Vãng lai,NV006
KH0007,Anh Trọng Vũ,(03) 9258 4510,cdang@gmail.com,VIP,NV004
KH0008,Nhật Hữu Dương,+84 52 8409722,buijohn@gmail.com,Thành viên,NV008
KH0009,Quý cô Bảo Phạm,09 8852876,snguyen@yahoo.com,Thành viên,NV017
KH0010,Châu Văn Bùi ,(03) 5252 3406,lejohn@gmail.com,Vãng lai,NV013
KH0011,Bác Nhiên Lê,(06)602-4768,rle@yahoo.com,VIP,NV020
KH0012,Bảo Lê,04 0210035,janepham@yahoo.com,,NV010
KH0013,Bà Yến Hoàng,+84.71.3456600,john11@yahoo.com,,NV017
KH0014,Nam Hải Bùi,(04)278-5750,john04@hotmail.com,Thành viên,NV012
KH0015,Bà Hà Nguyễn,(03) 0665 4097,hnguyen@hotmail.com,VIP,NV009
KH0016,Cô Nhật Dương,02.5230.1242,jane18@hotmail.com,Vãng lai,NV011
KH0017,Linh Bùi,04 2865547,nguyenjane@yahoo.com,VIP,NV004
KH0018,Bà Nhật Mai,04 7067707,nguyenjohn@gmail.com,,NV005
KH0019,Cô Lâm Lê,06 9619 6288,jane05@hotmail.com,Thành viên,NV020
KH0020,Huy Dương,+84 87 9367266,johnle@gmail.com,Thành viên,NV006
KH0021,Hoàng Nguyễn ,(01) 6349 4373,mhoang@yahoo.com,VIP,NV005
KH0022,Bảo Dương,+84-39-519.9961,phamjane@yahoo.com,Vãng lai,NV019
KH0023,Cô Duyên Bùi,05.1382268,maijohn@gmail.com,VIP,NV011
KH0024,Vân Lê,+84-77-697 6963,john31@hotmail.com,Thành viên,NV012
KH0025,Nhật Hữu Hoàng,(01)946-2138,johnbui@yahoo.com,,NV008
KH0026,Quý cô Chi Mai,+84-79-061525,johnduong@gmail.com,VIP,NV018
KH0027,Hải Vũ,(04)602-1158,hoangjohn@gmail.com,VIP,NV005
KH0028,Cô Thành Bùi,+84 69 6742973,jane34@yahoo.com,,NV006
KH0029,Huy Đặng,(02) 8339 2729,johnpham@gmail.com,VIP,NV018
KH0030,Anh Trọng Dương,01 7756092,jane41@gmail.com,,NV012
KH0031,Cô Hồng Trần,,jane87@gmail.com,Vãng lai,NV008
KH0032,Nhật Dương,+84-63-413 7790,john24@gmail.com,Vãng lai,NV005
KH0033,Kim Hoàng Trần,+84 19 5596316,ypham@gmail.com,,NV020
KH0034,Phúc Trần,+84-43-186378,vujane@hotmail.com,VIP,NV007
KH0035,An Nguyễn,(04) 7376 8502,lmai@yahoo.com,,NV009
KH0036,Bác Hưng Mai,+84 85 3238626,jane22@gmail.com,Vãng lai,NV020
KH0037,Dũng Thị Hoàng,00 2306 6643,janebui@hotmail.com,Vãng lai,NV016
KH0038,Dũng Hoàng Trần,(02).6770.8880,johnduong@yahoo.com,,NV019
KH0039,Phương Thế Mai,+84 68 7773193,bdang@hotmail.com,Thành viên,NV006
KH0040,Nhiên Đức Bùi,04 3757179,mdang@yahoo.com,,NV010
KH0041,Hương Nguyễn,+84-21-131 2828,johntran@yahoo.com,,NV015
KH0042,Dũng Hoàng,,dmai@hotmail.com,VIP,NV013
KH0043,Anh Nam Trần,08.6636.9466,yhoang@yahoo.com,,NV010
KH0044,Bác Quang Hoàng,,john61@hotmail.com,Thành viên,NV006
KH0045,Thành Hoàng Lê,09 2225166,phamjane@hotmail.com,,NV020
KH0046,Quý ông Vũ Nguyễn,07 1083847,janetran@yahoo.com,Thành viên,NV017
KH0047,Quý ông Quang Dương,,johnle@gmail.com,,NV017
KH0048,Quý ông Hưng Hoàng,+84-85-968.2695,tranjohn@hotmail.com,,NV010
KH0049,Phương Nguyễn,03 5560781,jane08@gmail.com,,NV016
KH0050,An Lê,00 7516 5897,johnpham@hotmail.com,Vãng lai,NV005
KH0051,Thành Hoàng Mai,(06)860-2402,john75@hotmail.com,,NV009
KH0052,Bà Hồng Dương,+84 92 8039785,jane03@yahoo.com,Thành viên,NV010
KH0053,Quý ông Dũng Phạm,04 0812 9374,sduong@hotmail.com,Vãng lai,NV003
KH0054,Quý cô Lan Nguyễn,01.0144805,johnduong@yahoo.com,,NV013
KH0055,Bà Lâm Trần,+84 95 6218180,janenguyen@yahoo.com,VIP,NV014
KH0056,Lâm Trí Hoàng ,06 3667425,tranjohn@gmail.com,,NV013
KH0057,Chị Hương Đặng,+84-08-065 5997,john79@hotmail.com,Vãng lai,NV020
KH0058,Kim Phú Mai,+84-29-674 8538,eduong@yahoo.com,Vãng lai,NV015
KH0059,Vi Phạm,,jane01@yahoo.com,VIP,NV019
KH0060,Thảo Mai,+84-62-276.3644,qle@gmail.com,VIP,NV020
KH0061,Khoa Phạm,04 4182 7445,dangjohn@hotmail.com,Vãng lai,NV011
KH0062,Nhiên Tấn Phạm,(03) 1670 0369,johnmai@yahoo.com,,NV008
KH0063,Hạnh Bảo Vũ,+84 47 9825415,xbui@hotmail.com,Thành viên,NV005
KH0064,Hạnh Quang Phạm,+84-06-876062,johnle@gmail.com,VIP,NV015
KH0065,Vi Phạm,(06)641-4553,hpham@yahoo.com,VIP,NV004
KH0066,Kim Vũ,+84 88 7543385,jane24@gmail.com,,NV018
KH0067,Bảo Mai ,(09) 3991 3711,dangjane@yahoo.com,Vãng lai,NV018
KH0068,Bảo Trần,(02) 2555 4663,hmai@hotmail.com,,NV005
